image_id,generated_caption,reference_captions,num_references,bleu1,bleu2,bleu3,bleu4
2595186208_9b16fa0ee3,"A beautiful sunset over a calm lake, with vibrant hues of orange and pink reflecting on the water.",[],0,0,0,0,0
3107558821_f3b205d4ed,"A lush green forest with sunlight streaming through the trees, creating a peaceful and serene atmosphere.",[],0,0,0,0,0
362316425_bda238b4de,A golden sunset over a tranquil beach with soft waves gently rolling onto the shore.,[],0,0,0,0,0
3613030730_0b28b079ba,A lush green forest with sunlight filtering through the trees.,[],0,0,0,0,0
2497608431_8dfefc7a1a,A group of happy children playing in a field of wildflowers under a bright blue sky.,[],0,0,0,0,0
482047956_9a29e9cee6,"A close-up of a blooming red rose, showcasing its delicate petals and green leaves.",[],0,0,0,0,0
1764955991_5e53a28c87,A peaceful meadow with a clear blue sky and a few fluffy clouds.,[],0,0,0,0,0
3680218298_582e6a2289,"A close-up of a dew-covered spider web shimmering in the morning sunlight, showcasing intricate patterns and details.",[],0,0,0,0,0
3685372942_6ae935b34e,A vibrant city skyline at sunset with buildings illuminated by city lights.,[],0,0,0,0,0
3000722396_1ae2e976c2,"A close-up of a fluffy white kitten playing with a string, its bright blue eyes wide with curiosity.",[],0,0,0,0,0
2332540384_4cf26406a9,A group of friends smiling and laughing together during a picnic in a sunny park.,[],0,0,0,0,0
989754491_7e53fb4586,A serene landscape featuring a crystal-clear lake reflecting the surrounding mountains and a clear blue sky.,[],0,0,0,0,0
3468275336_61936db92d,A cozy cabin nestled among tall pine trees in a peaceful mountain setting.,[],0,0,0,0,0
530454257_66d58b49ee,"A colorful bouquet of flowers in a glass vase, sitting on a sunlit windowsill.",[],0,0,0,0,0
3019857541_3de3e24f54,A lush green forest with vibrant flowers and a winding stream.,[],0,0,0,0,0
2553550034_5901aa9d6c,"A lush green forest with sunlight filtering through the leaves, creating a peaceful atmosphere.",[],0,0,0,0,0
541046380_513e295384,"An aerial view of a bustling cityscape with towering skyscrapers, busy streets filled with cars, and people walking on sidewalks.",[],0,0,0,0,0
2618866067_07cbc83dc5,"A close-up of a blooming pink rose in a garden, with dew drops glistening on its petals.",[],0,0,0,0,0
3584196366_a4b43d6644,A peaceful lakeside scene with trees reflecting in the calm water.,[],0,0,0,0,0
3208188198_2b271d2a2e,"A group of friends laughing and enjoying a picnic in a lush green park, surrounded by tall trees and a clear blue sky.",[],0,0,0,0,0
3497106366_d1a256e723,A peaceful landscape with a calm lake reflecting the surrounding trees and mountains.,[],0,0,0,0,0
700884207_d3ec546494,A cozy cabin nestled among tall pine trees with a snow-capped mountain in the background.,[],0,0,0,0,0
1324816249_86600a6759,"A lush green forest with sunlight filtering through the canopy, creating a peaceful and tranquil atmosphere.",[],0,0,0,0,0
455611732_d65bf3e976,"A lush green forest with sunlight filtering through the trees, creating a tranquil atmosphere.",[],0,0,0,0,0
3317073508_7e13565c1b,A close-up of a colorful bouquet of flowers in full bloom.,[],0,0,0,0,0
302241178_a582c1b953,A serene landscape with a calm lake reflecting the surrounding green trees and a clear blue sky above.,[],0,0,0,0,0
3561639055_5ac66ae92f,"A lush green forest with sunlight filtering through the canopy, creating a magical and peaceful atmosphere.",[],0,0,0,0,0
2067362863_59577f9d4d,An adorable puppy playing in a meadow filled with colorful wildflowers.,[],0,0,0,0,0
3242088278_43eea5d17e,A serene landscape with a calm lake reflecting the colorful autumn trees.,[],0,0,0,0,0
3462165890_c13ce13eff,"A lush green forest with sunlight streaming through the canopy, creating a magical atmosphere.",[],0,0,0,0,0
1424237335_b3be9920ba,A fluffy golden retriever playing in a lush green field under a clear blue sky.,[],0,0,0,0,0
3486135177_772628d034,"A cozy living room with a crackling fireplace, plush sofa, and warm lighting.",[],0,0,0,0,0
374567836_3ae12ecffb,"A close-up of a ripe, juicy watermelon slice with seeds against a bright yellow background.",[],0,0,0,0,0
3049770416_0fb1954315,A cozy cabin nestled among tall pine trees dusted with snow.,[],0,0,0,0,0
3029472296_d429b1586c,"A cozy living room with a crackling fireplace, comfortable furniture, and soft, warm lighting.",[],0,0,0,0,0
3070485870_eab1a75c6f,"A cozy living room with a crackling fireplace, fluffy pillows, and warm, inviting decor.",[],0,0,0,0,0
656260720_a7db4ce48b,"A close-up of a vibrant red rose with dew drops on its petals, showcasing its natural beauty.",[],0,0,0,0,0
2471493912_2d4746b834,An adorable puppy playing in a field of sunflowers under the warm golden sunlight.,[],0,0,0,0,0
498404951_527adba7b8,A peaceful sunset over a calm lake with vibrant orange and pink hues reflecting on the water.,[],0,0,0,0,0
2081446176_f97dc76951,"An adorable kitten playing with a ball of yarn, with a curious expression on its fluffy face.",[],0,0,0,0,0
3367758711_a8c09607ac,A serene beach scene with waves gently crashing on the shore under a clear blue sky.,[],0,0,0,0,0
1550772959_9ca9fa625f,"A vibrant sunset over a calm lake, with the sky painted in shades of pink, orange, and purple.",[],0,0,0,0,0
539493431_744eb1abaa,A close-up of a blooming sunflower with vibrant yellow petals and a dark brown center.,[],0,0,0,0,0
3192266178_f9bf5d3dba,A bright yellow sunflower standing tall in a field of green grass.,[],0,0,0,0,0
2538423833_d1f492d1fb,A group of happy children playing in a green park under a bright blue sky.,[],0,0,0,0,0
526661994_21838fc72c,"A fluffy white cat with bright green eyes lounging on a windowsill, basking in the sunlight.",[],0,0,0,0,0
1115565519_d976d4b1f1,A group of diverse friends laughing and enjoying a picnic in a sunny park.,[],0,0,0,0,0
3360730513_211e1a4db6,A peaceful setting perfect for relaxation and enjoying nature's beauty.,[],0,0,0,0,0
1316247213_1d2c726dd5,A close-up of a blooming sunflower with bright yellow petals and a dark center.,[],0,0,0,0,0
697778778_b52090709d,A group of vibrant wildflowers blooming in a lush meadow.,[],0,0,0,0,0
1659396176_ced00a549f,"A serene forest scene with sunlight filtering through the lush green canopy, creating a peaceful and tranquil atmosphere.",[],0,0,0,0,0
2281054343_95d6d3b882,A colorful hot air balloon floating peacefully in a clear blue sky.,[],0,0,0,0,0
3381038951_225bb163af,A group of diverse friends smiling and laughing together at a picnic in the park.,[],0,0,0,0,0
2378356400_f6bde5d9b3,"A vibrant sunset over a calm lake, with the sky painted in hues of orange, pink, and purple reflecting on the water.",[],0,0,0,0,0
1296770308_3db2022f5a,A group of colorful hot air balloons flying high in the sky during a festival.,[],0,0,0,0,0
3217910740_d1d61c08ab,A bright red apple sitting on a wooden table.,[],0,0,0,0,0
3516935867_78cf63c69c,A serene landscape with a calm lake reflecting the blue sky and fluffy white clouds.,[],0,0,0,0,0
566446626_9793890f95,A serene landscape with a calm lake reflecting the surrounding trees and a clear blue sky above.,[],0,0,0,0,0
3351418768_596ef7fd6f,A group of happy children playing in a field of wildflowers under a clear blue sky.,[],0,0,0,0,0
534200447_b0f3ff02be,A serene landscape with a calm lake reflecting the surrounding trees and mountains.,[],0,0,0,0,0
260520547_944f9f4c91,A serene landscape featuring a crystal clear lake surrounded by lush green trees and a clear blue sky.,[],0,0,0,0,0
3365348059_9773165302,"A vibrant sunset over a calm lake, with the sky painted in hues of orange, pink, and purple.",[],0,0,0,0,0
3673970325_4e025069e9,A close-up shot of a colorful bouquet of assorted flowers in full bloom.,[],0,0,0,0,0
3412036192_d8cd12ed3f,A serene landscape featuring a peaceful lake surrounded by tall green trees and a clear blue sky above.,[],0,0,0,0,0
3159569570_dff24e7be9,"A beautiful sunset over a calm lake, with vibrant hues of orange and pink reflecting on the water.",[],0,0,0,0,0
3087095548_6df7c2a8ed,A group of friends laughing and enjoying a picnic in a lush green park.,[],0,0,0,0,0
3132619510_7dfc947d25,A lush green forest with a winding path leading through the trees.,[],0,0,0,0,0
3305767464_d64a336f60,"A close-up of a vibrant flower in full bloom, showcasing its intricate petals and rich colors.",[],0,0,0,0,0
2204695848_3d1b140212,A fluffy white kitten playing with a ball of yarn in a sunlit room.,[],0,0,0,0,0
1466307489_cb8a74de09,"A lush green forest with sunlight streaming through the trees, casting dappled shadows on the forest floor.",[],0,0,0,0,0
2887103049_a867e74358,A group of diverse friends laughing and enjoying a picnic in a lush green park on a sunny day.,[],0,0,0,0,0
3407584080_c6abf71ae3,"A vibrant city street bustling with people, tall buildings, and colorful signs.",[],0,0,0,0,0
3616846215_d61881b60f,A bustling city street filled with people walking among tall buildings and bustling shops under a clear blue sky.,[],0,0,0,0,0
524698457_77ba13840a,"A bright, sunny landscape with a clear blue sky and lush green meadows.",[],0,0,0,0,0
2038662925_f4fa8c2534,"A serene mountain landscape with snow-capped peaks, lush green forests, and a winding river below.",[],0,0,0,0,0
307321761_606fc91673,A serene beach scene with palm trees swaying in the breeze under a clear blue sky.,[],0,0,0,0,0
3494105596_f05cb0d56f,"A peaceful forest scene with sunlight filtering through the trees, creating a dappled pattern on the forest floor.",[],0,0,0,0,0
1419385780_1383ec7ba9,,[],0,0,0,0,0
2567035103_3511020c8f,A group of diverse friends laughing and enjoying a picnic in a green park on a sunny day.,[],0,0,0,0,0
3671933270_d124e9a1a4,A fluffy white cloud in a clear blue sky.,[],0,0,0,0,0
2164363131_6930455d45,A playful puppy chasing a ball in a grassy field.,[],0,0,0,0,0
1931690777_897a7d8ab6,A lush green forest with sunlight filtering through the trees.,[],0,0,0,0,0
1388373425_3c72b56639,A fluffy white kitten playing with a ball of yarn on a cozy rug.,[],0,0,0,0,0
3690431163_1d81e19549,A serene landscape of a crystal clear lake surrounded by lush green trees and vibrant wildflowers.,[],0,0,0,0,0
2187904131_96ea83b9b5,A serene landscape with a calm lake reflecting the vibrant colors of the sunset sky.,[],0,0,0,0,0
3441701164_6dbbdf1bce,"A vibrant city street bustling with people, cars, and tall buildings under a clear blue sky.",[],0,0,0,0,0
269650644_059a84ece5,A serene landscape with a colorful sunset over a calm lake.,[],0,0,0,0,0
1643915227_9f48068772,"A peaceful beach scene with gentle waves, a sandy shore, and a clear blue sky.",[],0,0,0,0,0
2561319255_ce5ede291e,A bright red apple placed on a wooden table.,[],0,0,0,0,0
532914728_c5d8d56b0b,A group of colorful hot air balloons floating in a clear blue sky during a festival.,[],0,0,0,0,0
400851260_5911898657,"A vibrant sunset over a calm lake, reflecting the warm colors of the sky.",[],0,0,0,0,0
3411393875_a9ff73c67a,"A vibrant bouquet of assorted flowers in full bloom, showcasing a range of colors and textures.",[],0,0,0,0,0
3260214530_7179346407,"A dense forest with sunlight filtering through the trees, creating a magical and serene atmosphere.",[],0,0,0,0,0
2895403073_906768cafa,A group of colorful hot air balloons floating in a clear blue sky.,[],0,0,0,0,0
732468337_a37075225e,A fluffy white kitten playing with a colorful ball of yarn on a wooden floor.,[],0,0,0,0,0
1287475186_2dee85f1a5,"A picturesque sunset over a serene lake, with vibrant hues of orange and pink reflecting on the water.",[],0,0,0,0,0
2109479807_eec8d72ca7,A group of friends laughing and enjoying a picnic in a sunny park.,[],0,0,0,0,0
3139895886_5a6d495b13,A bright blue sky with fluffy white clouds over a lush green meadow.,[],0,0,0,0,0
458183774_afe65abf67,"A group of colorful hot air balloons soaring in the clear blue sky, casting shadows on the green fields below.",[],0,0,0,0,0
2021671653_567395c7cf,An overhead view of a bustling city street filled with people walking and cars driving amidst tall buildings.,[],0,0,0,0,0
3472485022_5d03e9852d,"A group of diverse people sitting around a campfire, roasting marshmallows and enjoying the outdoors together.",[],0,0,0,0,0
260392825_ea61660633,A colorful bouquet of assorted flowers in a vibrant garden setting.,[],0,0,0,0,0
3259002340_707ce96858,A pair of playful puppies running through a sunlit field filled with wildflowers.,[],0,0,0,0,0
3727740053_3baa94ffcb,A close-up photo of a colorful bouquet of flowers in a glass vase on a wooden table.,[],0,0,0,0,0
3290105461_7590f23371,"A peaceful forest scene with sunlight filtering through the trees, casting dappled shadows on the ground.",[],0,0,0,0,0
2247138288_7355861203,"A group of friends laughing and enjoying a picnic in a lush green park, surrounded by tall trees and a clear blue sky.",[],0,0,0,0,0
2854959952_3991a385ab,A group of colorful hot air balloons soaring high in the clear blue sky.,[],0,0,0,0,0
405961988_fcfe97f31e,"A group of diverse young students sitting on a grassy field, studying together under a clear blue sky.",[],0,0,0,0,0
2087317114_cf06df5aa5,"A lush green forest with sunlight filtering through the dense canopy, creating dappled patterns on the forest floor.",[],0,0,0,0,0
3537400880_8f410d747d,A bright red apple sitting on a wooden table.,[],0,0,0,0,0
2393196444_8f4f540f5f,A serene landscape with a calm lake reflecting the clear blue sky and surrounding green trees.,[],0,0,0,0,0
3301935788_2bb7bbc515,"A cozy living room with a crackling fireplace, fluffy rug, and comfortable armchair.",[],0,0,0,0,0
2419797375_553f867472,"A peaceful forest scene with sunlight streaming through the trees, casting shadows on the lush green foliage.",[],0,0,0,0,0
2701271123_6761bc5f26,"A lush green forest with sunlight filtering through the leaves, creating a dappled pattern on the ground.",[],0,0,0,0,0
310213587_778fe8fb5b,"A winding forest trail with dappled sunlight filtering through the trees, creating a peaceful and inviting atmosphere.",[],0,0,0,0,0
2246717855_c0c08fe5d2,"A lush green forest with sunlight streaming through the leaves, creating a magical atmosphere.",[],0,0,0,0,0
3247052319_da8aba1983,A serene beach scene with palm trees swaying in the breeze and crystal-clear blue water.,[],0,0,0,0,0
3470951932_27ed74eb0b,"A lush green forest with sunlight filtering through the trees, creating a peaceful and serene atmosphere.",[],0,0,0,0,0
2121140070_a09644550b,"A lush green forest with sunlight filtering through the trees, creating dappled shadows on the ground.",[],0,0,0,0,0
534875358_6ea30d3091,A group of diverse friends laughing and enjoying a picnic in a lush green park on a sunny day.,[],0,0,0,0,0
733752482_ee01a419e5,A young child playing with a fluffy golden retriever in a lush green park.,[],0,0,0,0,0
2561334141_0aacefa5e7,"A cozy living room with a crackling fireplace, plush furniture, and soft ambient lighting, creating a warm and inviting atmosphere.",[],0,0,0,0,0
3229282764_a4a515f4e2,A group of colorful hot air balloons floating in a clear blue sky.,[],0,0,0,0,0
2286032269_8ba929709c,A serene landscape featuring a calm lake surrounded by lush green trees and a clear blue sky above.,[],0,0,0,0,0
3718892835_a3e74a3417,"A lush green forest with sunlight streaming through the canopy, creating a magical and serene setting.",[],0,0,0,0,0
3714551959_66ece78f27,A group of diverse friends smiling and laughing together at a picnic in the park.,[],0,0,0,0,0
2672354635_3a03f76486,A group of friends laughing and enjoying a picnic in a sunny park.,[],0,0,0,0,0
1387443857_602ab6f9bf,"A group of diverse friends laughing and enjoying a picnic in a sunny park, surrounded by green trees and a blue sky.",[],0,0,0,0,0
